Jacastanhas - Loja de Castanhas,"R. Rodrigues de Carvalho, 160 - Centro, João Pessoa - PB, 58013-210, Brazil"
Box Da Castanha,"Av. Francisca Moura - Centro, João Pessoa - PB, 58013-420, Brazil"
Casa das Castanhas - Saúde & Vida I Produtos NaturaisTambaú,"Avenida Épitacio Pessoa 5049 sala 4 com, R. Nossa Sra. dos Navegantes - Tambaú, João Pessoa - PB, 58039-000, Brazil"
Castanholândia Produtos Regionais - Loja 8,"Av. Alm. Tamandaré, 310 - Tambaú, João Pessoa - PB, 58039-010, Brazil"
Loja da Castanha,"Av. Primeiro de Maio, 663 - Jaguaribe, João Pessoa - PB, 58015-435, Brazil"
Natfrut - Produtos Naturais,"Rua Comerciante Alfredo Ferreira da Rocha, 455 - Mangabeira, João Pessoa - PB, 58055-540, Brazil"
J&C Castanhas,"Av. Alm. Tamandaré, 424 - Tambaú, João Pessoa - PB, 58039-010, Brazil"
Ponto Natural JP Unidade João Câncio,"R. Francisco Claudino Pereira, 474 - Manaíra, João Pessoa - PB, 58038-431, Brazil"
Le Nature Produtos Naturais - Loja Espaço Cultural,"R. Abdias Gomes de Almeida, 800 - Box 06 - Tambauzinho, João Pessoa - PB, 58042-100, Brazil"
Castanha House,"Av. Cruz das Armas, 601 - Cruz das Armas, João Pessoa - PB, 58085-000, Brazil"
Vivenda dos Naturais,"R. Joaquim Pires Ferreira, 210 - Sala 1 - Estados, João Pessoa - PB, 58027-033, Brazil"
Saúde em Grãos,"R. Bancário Sérgio Guerra, 328 - Jardim Cidade Universitária, João Pessoa - PB, 58051-255, Brazil"
Nobrezas do Sertão,"Balcão 02, Mercado Público de Tambaú - R. Coração de Jesus - Tambaú, João Pessoa - PB, 58039-070, Brazil"
Casa das Castanhas I Produtos Naturais - Centro,"Av. Pastor José Alves de Oliveira, 545 - Centro, Cabedelo - PB, 58100-222, Brazil"
Laury Naturais - Manaíra,"lado da conveniência do Posto de Combustíveis - Av. Gen. Edson Ramalho, 122 - Loja 103 ao - Manaíra, João Pessoa - PB, 58038-100, Brazil"
Le Nature Produtos Naturais - Quiosque Shopping Tambiá,"R. Dep. Odon Bezerra, n° 00194 - Quiosque 001 - Tambiá, João Pessoa - PB, 58020-500, Brazil"
Ponto Natural Unidade Esperança,"Empresarial Esperança - Av. Esperança, 1074 - 102 - Manaíra, João Pessoa - PB, 58038-281, Brazil"
Pimenta Arretada - (Temperos e Especiarias),"Av. Cruz das Armas, 570 - Cruz das Armas, João Pessoa - PB, 58085-000, Brazil"
Amorim Empório Natural João Pessoa,"Av. Gen. Edson Ramalho, 360 - Manaíra, João Pessoa - PB, 58038-100, Brazil"
Mercado Público de Tambaú,"Av. Sen. Ruy Carneiro, S/N - Tambaú, João Pessoa - PB, 58039-181, Brazil"
Box Da Castanha,"Av. Francisca Moura - Centro, João Pessoa - PB, 58013-420, Brazil"
éNozes,"R. Industrial Jose Flavio Pinheiro, 1050 - Distrito Industrial, João Pessoa - PB, 58082-057, Brazil"
Zôo nozes De João Pessoa,"R. Gilvan Norberto da Silva, 461 - Mutirão, Bayeux - PB, 58309-816, Brazil"
Boteco de Noz,"Av. João Câncio da Silva, 647 - Manaíra, João Pessoa - PB, 58033-455, Brazil"
Madoska Sorveteria Artesanal - João Pessoa,"Av. João Maurício, 161 - Manaíra, João Pessoa - PB, 58038-000, Brazil"
Gratitude Empório Natural,"R. Abelardo da Silva Guimarães Barreto, 51 - Altiplano Cabo Branco, João Pessoa - PB, 58046-005, Brazil"
Bodega Brasileira - Produtos Naturais,"Av. Barão de Mamanguape, 469 - Torre, João Pessoa - PB, 58040-330, Brazil"
Amorim Empório Natural João Pessoa,"Av. Gen. Edson Ramalho, 360 - Manaíra, João Pessoa - PB, 58038-100, Brazil"
Conveniência - Empório Tem de Quê,"R. Profa. Severina de Sousa Souto, 152 - Sala 103 - Jardim Oceania, João Pessoa - PB, 58037-070, Brazil"
Mahogany Manaíra Shopping,"Av. Gov. Flávio Ribeiro Coutinho, 220 - S-0439 - Manaíra, João Pessoa - PB, 58310-000, Brazil"
Banana,"Brisamar, João Pessoa - State of Paraíba, 58033-455, Brazil"
Empresa Paraibana de Turismo S/A PBTUR,"Condomínio do Centro Turístico de Tambau - Av. Alm. Tamandaré, 100 - Tambaú, João Pessoa - PB, 58039-010, Brazil"
Caju Square,"Av. Pres. Café Filho - Bessa, João Pessoa - PB, 58035-180, Brazil"
Caju Class Flat,"Av. Antônio Lira, 407 - Tambaú, João Pessoa - PB, 58039-050, Brazil"
Dom Caju Bar e Petiscaria,"Rua Com Felix, R. Comerciante Félix Cahino, 49, João Pessoa - PB, 58064-727, Brazil"
Oficina Caju Diesel,"R. Estevão Bret - Distrito Industrial, João Pessoa - PB, Brazil"
Praça do Caju,"Praça do Caju - Bessa, João Pessoa - PB, Brazil"
CAJU PERSONALIZADOS,"RUA: RITA XAVIER DE OLIVEIRA, 227a - 227 - Mangabeira, João Pessoa - PB, 58055-020, Brazil"
Casa caju,"Praça Dom Adauto, 27 - Centro, João Pessoa - PB, 58010-670, Brazil"
Posto Cajueiro Com. de Derivados de Petroleo,"Rua Adalgisa Carneiro Cavalcante, 550 - Paratibe, João Pessoa - PB, 58075-000, Brazil"
Cuiá,"Cuiá, João Pessoa - State of Paraíba, Brazil"
Jacastanhas - Loja de Castanhas,"R. Rodrigues de Carvalho, 160 - Centro, João Pessoa - PB, 58013-210, Brazil"
Bar do Cajueiro,"R. Severino Nicolau de Melo, 652 - Jardim Oceania, João Pessoa - PB, 58037-700, Brazil"
Shake Bessa Jampa Praça do Caju,"próximo a praça do caju - Av. Pres. Café Filho, 549 - Bessa, João Pessoa - PB, 58035-180, Brazil"
Box Da Castanha,"Av. Francisca Moura - Centro, João Pessoa - PB, 58013-420, Brazil"
Mercado Público de Tambaú,"Av. Sen. Ruy Carneiro, S/N - Tambaú, João Pessoa - PB, 58039-181, Brazil"
Odara Caju Corretora De Imóveis,"418, R. Dr. Manoel Lopes de Carvalho, 415 - Sl 205, João Pessoa - PB, Brazil"
Canoa dos Camarões,"Av. João Maurício, 121 - Manaíra, João Pessoa - PB, 58038-000, Brazil"
Shake Édson Ramalho - Espaço Vida Saudável Marcos Caju,"Edif. Galeria Désirée - 2º andar, Av. Gen. Edson Ramalho, 445 - sala 206 - Manaíra, João Pessoa - PB, 58038-100, Brazil"
Pousada Cabo Branco,"Av. Buarque, 263 - Cabo Branco, João Pessoa - PB, 58045-160, Brazil"
Loja da Castanha,"Av. Primeiro de Maio, 663 - Jaguaribe, João Pessoa - PB, 58015-435, Brazil"
Armazém das Coisas PB,"Av. Euzely Fabrício de Souza, 709 - Manaíra, João Pessoa - PB, 58038-411, Brazil"
Brazil Atacado,"Rua Motorista Aldovandro Amâncio Pereira, 2700-A, João Pessoa - PB, 58075-006, Brazil"
Atacadão - João Pessoa,"R. Dr. Manoel Lopes de Carvalho, 200 - Ernesto Geisel, João Pessoa - PB, 58075-427, Brazil"
Atacadão dos Presentes e Utilidades,"Av. Beaurepaire Rohan, 184 - Centro, João Pessoa - PB, 58010-000, Brazil"
Assaí Atacadista,"Av. Pres. Epitácio Pessoa, 1277 - Estados, João Pessoa - PB, 58308-260, Brazil"
Mangabeira Atacado,"R. Antônio Pereira Castro, 125 A - Mangabeira, João Pessoa - PB, 58055-470, Brazil"
SuperFácil Atacado,"R. Diógenes Chianca, 1443 - Água Fria, João Pessoa - PB, 58053-000, Brazil"
Atacadão - João Pessoa - Atacado,"R. Norma de Araujo Batista, 951 - Galpão 2 Presidente - Ernesto Geisel, João Pessoa - PB, 58082-260, Brazil"
Boa Compra - Bom Negócio Até No Nome,"Av. Valdemar Naziazeno, 850 - Ernesto Geisel, João Pessoa - PB, 58075-000, Brazil"
Atacadão Econômico - Distribuidora de Matérias de Construção,"R. Jose Ferreira De Lima, 127 - GALPÃO 102 - Jardim Veneza, João Pessoa - PB, 58084-102, Brazil"
Assaí Atacadista,"Rua Motorista Aldovandro Amâncio, R. Ten. Severino Gomes Pereira, 51 - Ernesto Geisel, João Pessoa - PB, 58075-006, Brazil"
CDS Atacadista,"BR-230, 14 - Ernesto Geisel, João Pessoa - PB, 58075-004, Brazil"
O Baratão Atacado,"Av. Princesa Isabel, 1003 - Centro, João Pessoa - PB, 58020-528, Brazil"
VM Atacado Distribuidora,"Av. Cruz das Armas, 2382 - Oitizeiro, João Pessoa - PB, 58087-000, Brazil"
American Atacado,"R. Maciel Pinheiro, 198 - Varadouro, João Pessoa - PB, 58010-130, Brazil"
Atacadão dos Presentes,"R. Santo Elias, 219 - Centro, João Pessoa - PB, 58013-150, Brazil"
Central de Alimentos Quirino (Atacadão Lima),"R. Monsenhor Almeida, 221 - Jaguaribe, João Pessoa - PB, 58015-090, Brazil"
All Good Chicken,"R. Mal. Almeida Barreto, 630 - Centro, João Pessoa - PB, 58013-460, Brazil"
Make no Atacado,"Av. Pres. Juscelino Kubitscheck, 790 - Ernesto Geisel - Geisel, João Pessoa - PB, 58075-490, Brazil"
Correia Atacado,"Rua Deputado - R. Desportista Napoleão Duré, 290 - Cristo Redentor, João Pessoa - PB, 58071-590, Brazil"
Super Atacado Bom Todo - Ruy Carneiro,"Av. Sen. Ruy Carneiro, 180 - Manaíra, João Pessoa - PB, 58039-180, Brazil"
Central das Frutas,"Av. Dom Pedro II - Centro, João Pessoa - PB, 58019-900, Brazil"
